Location ,Lat,Lon
Shelton WA,47.2150945,-123.1007066
Aloha OR,45.4942838,-122.8670454
Wichita KS,37.68717609999999,-97.33005299999999
San Francisco CA,37.7749295,-122.4194155
Evans CO,40.3763701,-104.6921874
Guthrie OK,35.878937,-97.42531849999999
Chandler AZ,33.3061605,-111.8412502
Assaria KS,38.6802826,-97.6044806
Burlington IA,40.8076529,-91.1128901
Knoxville PA,41.9572933,-77.4388719
Stockton CA,37.9577016,-121.2907796
Freeport TX,28.9541368,-95.35966169999999
Columbus OH,39.9611755,-82.99879419999999
Des Moines IA,41.6005448,-93.6091064
New Orleans LA,29.95106579999999,-90.0715323
Huntley MT,45.899401,-108.3015174
Salt Lake City UT,40.7607793,-111.8910474
Strong AR,33.1073435,-92.35668609999999
Syracuse UT,41.0893878,-112.0646657
England AR,34.5442609,-91.9690284
El Paso TX,31.7618778,-106.4850217
Arcola IL,39.684755,-88.30643669999999
South Gate CA,33.954737,-118.2120161
North Las Vegas NV,36.1988592,-115.1175013
Albuquerque NM,35.0843859,-106.650422
Jourdanton TX,28.9180294,-98.5464068
St. Paul MN,44.9537029,-93.0899578
Franklin County MO,38.3953601,-91.13530200000001
Chesapeake VA,36.7682088,-76.2874927
Old Bridge NJ,40.4128551,-74.307282
Lake Jackson TX,29.0338575,-95.4343859
Draper UT,40.5246711,-111.8638226
Indianapolis IN,39.768403,-86.158068
Aurora CO,39.7294319,-104.8319195
Bloomington MN,44.840798,-93.2982799
Fairfield CA,38.24935809999999,-122.0399663
Evangeline Parish LA,30.7821781,-92.38136209999999
Mabank TX,32.3665322,-96.1008056
Fremont CA,37.5482697,-121.9885719
Muskogee OK,35.7478769,-95.3696909
Los Angeles CA,34.0522342,-118.2436849
Fort Worth TX,32.7554883,-97.3307658
Maricopa AZ,33.0581063,-112.0476423
Gunlock KY,37.547597,-82.9259979
Weymouth MA,42.2180724,-70.94103559999999
Scottsdale AZ,33.4941704,-111.9260519
Hemet CA,33.7475203,-116.9719684
Chapeno TX,26.534403,-99.154991
St. Louis MO,38.6270025,-90.19940419999999
Derry NH,42.8806437,-71.3273346
Sierra Blanca TX,31.1745732,-105.3571764
Longview TX,32.5007037,-94.74048909999999
Austin TX,30.267153,-97.7430608
Fort Lauderdale FL,26.1224386,-80.13731740000001
Levelland TX,33.5873164,-102.37796
Rexburg ID,43.8231096,-111.7924237
Baltimore MD,39.2903848,-76.6121893
Pueblo CO,38.2544472,-104.6091409
Winslow NJ,39.6573556,-74.8623203
Denver CO,39.7392358,-104.990251
New Hope MN,45.0380201,-93.3866185
Tahoka TX,33.1667601,-101.7937669
Wasco CA,35.5941238,-119.3409457
Phoenix AZ,33.4483771,-112.0740373
Morenci AZ,33.0508859,-109.3280282
Omaha NE,41.2565369,-95.9345034
Sunset TX,33.4520535,-97.76669989999999
Rosenberg TX,29.5571825,-95.80856229999999
Stillwater OK,36.1156071,-97.0583681
Wyoming MI,42.9133602,-85.7053085
Billings MT,45.7832856,-108.5006904
Houston TX,29.7604267,-95.3698028
Randallstown MD,39.3673278,-76.79525249999999
Bay City MI,43.5944677,-83.8888647
Hummelstown PA,40.2653681,-76.7083033
Apple Valley CA,34.5008311,-117.1858759
Emeryville CA,37.831316,-122.2852473
Antioch CA,38.0049214,-121.805789
Douglas GA,31.5088073,-82.8498654
Tallahassee FL,30.4382559,-84.28073289999999
Orlando FL,28.5383355,-81.3792365
Tempe AZ,33.4255104,-111.9400054
Lorena TX,31.3865592,-97.21555959999999
Memphis TN,35.1495343,-90.0489801
Chino CA,34.0122346,-117.688944
Oklahoma City OK,35.4675602,-97.5164276
Calimesa CA,34.0039039,-117.0619755
Gastonia NC,35.262082,-81.18730049999999
Anchorage AK,61.2180556,-149.9002778
New City NY,41.1475954,-73.989306
Orange County FL,28.4844995,-81.2518833
Nocona TX,33.7867684,-97.7258626
Smyrna ME,46.1644547,-68.1203515
Dallas TX,32.7766642,-96.79698789999999
Pasco WA,46.2305049,-119.0922316
Whitehaven TN,35.0277933,-90.04665589999999
New Castle CO,39.5727585,-107.5364443
San Jose CA,37.3382082,-121.8863286
Dadeville AL,32.831238,-85.76356919999999
San Bernardino CA,34.1083449,-117.2897652
Kansas City KS,39.114053,-94.6274636
Reading PA,40.3356483,-75.9268747
McLemoresville TN,35.987286,-88.5745001
San Manuel AZ,32.5997933,-110.6309289
Essex MD,39.30927430000001,-76.47496199999999
Laredo TX,27.5305671,-99.48032409999999
Miami Gardens FL,25.9420377,-80.2456045
Iuka MS,34.8117565,-88.19004149999999
Colton OR,45.1721192,-122.4374803
Marana AZ,32.436381,-111.2224422
Boise ID,43.6150186,-116.2023137
Provo UT,40.2338438,-111.6585337
Gaston County NC,35.2895651,-81.20781640000001
Springfield MO,37.2089572,-93.29229889999999
Eaton Rapids Township MI,42.5681472,-84.75244819999999
Tewksbury MA,42.6106478,-71.23422479999999
Del Rio TX,29.3708857,-100.8958674
Charlotte NC,35.2270869,-80.8431267
Euless TX,32.8370727,-97.08195409999999
Homewood AL,33.4717732,-86.80082279999999
Birmingham AL,33.5206608,-86.80248999999999
Ruidoso NM,33.3672525,-105.6588485
Palm Bay FL,28.0344621,-80.5886646
Allentown PA,40.6022939,-75.4714098
Denham Springs LA,30.48685639999999,-90.95621249999999
Powder Springs GA,33.8595491,-84.683824
Clarkesville GA,34.6125971,-83.5248933
Millbrook AL,32.4798575,-86.36191629999999
Green Bay WI,44.5133188,-88.0132958
Las Vegas NV,36.1699412,-115.1398296
Terre Haute IN,39.4667034,-87.41390919999999
Lakeland FL,28.0394654,-81.9498042
Gulfport MS,30.3674198,-89.0928155
Sylvester GA,31.5307349,-83.8354542
Santa Ana CA,33.7454725,-117.867653
Pelzer SC,34.6423372,-82.4559598
Roxand Township MI,42.729993,-84.87763919999999
St Louis MO,38.6270025,-90.19940419999999
Tucson AZ,32.2226066,-110.9747108
Columbia MO,38.9517053,-92.3340724
Tarboro NC,35.8968236,-77.5358049
