,Location ,Lat,Lon
131,Lakeland FL,28.039465399999997,-81.9498042
132,Gulfport MS,30.367419800000004,-89.0928155
133,Sylvester GA,31.5307349,-83.8354542
134,Santa Ana CA,33.7454725,-117.867653
135,Pelzer SC,34.6423372,-82.4559598
136,Roxand Township MI,42.729993,-84.87763919999998
137,St Louis MO,38.6270025,-90.1994042
138,Tucson AZ,32.2226066,-110.9747108
139,Columbia MO,38.95170529999999,-92.33407240000001
140,Tarboro NC,35.896823600000005,-77.53580490000002
141,La Paz County AZ,34.0061091,-113.9536466
142,Barton MS,34.9639824,-89.68925019999998
143,Joilet IL,41.525031,-88.0817251
144,Salisbury MD,38.360673600000005,-75.5993692
145,Deltona FL,28.9005446,-81.26367379999998
146,Milwaukee WI,43.0389025,-87.9064736
147,Burbank CA,34.18083920000001,-118.30896609999998
148,Lincoln NE,40.813615999999996,-96.7025955
149,Putnam Hall FL,29.73663329999999,-81.95926349999998
150,Madison WI,43.07305170000001,-89.4012302
151,Claymont DE,39.8006685,-75.45964040000001
152,Anaheim CA,33.8365932,-117.91430120000001
153,Brevard NC,35.2334472,-82.73429190000002
154,Dinosaur CO,40.243578,-109.01456129999998
155,Cocoa FL,28.3861159,-80.7419984
156,Atlanta GA,33.7489954,-84.3879824
157,Baton Rouge LA,30.451467699999995,-91.1871466
158,Port Wentworth GA,32.149091999999996,-81.163168
159,Ontario CA,34.0633443,-117.65088759999999
160,Cleveland OH,41.499320000000004,-81.6943605
161,Kingman AZ,35.189443,-114.0530065
162,Bay Minette AL,30.8829628,-87.77304740000001
163,Hoover AL,33.405386699999994,-86.8113781
164,Elkton MD,39.60677889999999,-75.83327179999998
165,Washington DC,38.9071923,-77.03687070000001
166,Kansas City MO,39.0997265,-94.5785667
167,Fontana CA,34.0922335,-117.435048
168,Walnut Creek CA,37.9100783,-122.06518190000001
169,Napa CA,38.2975381,-122.28686499999999
170,San Antonio TX,29.4241219,-98.4936282
171,Follansbee WV,40.3275693,-80.5959065
172,Kenosha WI,42.5847425,-87.82118539999998
173,Ruth MS,31.381562699999996,-90.3164819
174,Onalaska TX,30.805746000000003,-95.1163261
175,Sacramento CA,38.5815719,-121.49439960000001
176,Medford OR,42.3265152,-122.8755949
177,Dublin NC,34.65683610000001,-78.726407
178,Bakersfield CA,35.3732921,-119.0187125
179,Glendale AZ,33.538652299999995,-112.18598659999999
180,Jacksonville FL,30.3321838,-81.65565099999998
181,Sumas WA,49.0001217,-122.2648752
182,Lawrence County AL,34.567428,-87.30161319999998
183,Middleton ID,43.7068281,-116.6201357
184,Red Valley AZ,36.6039938,-109.06038249999999
185,Coal County OK,34.568577000000005,-96.2800864
186,Clarendon NY,43.193393,-78.06473869999998
187,Harmony IN,39.534966299999994,-87.069919
188,Cottonwood AZ,34.7391876,-112.00987909999999
189,Vallejo CA,38.1040864,-122.25663670000002
190,Portland OR,45.5122308,-122.6587185
191,Islip NY,40.729820700000005,-73.2103934
192,Santa Clara CA,37.354107899999995,-121.9552356
193,Fond du Lac WI,43.7730448,-88.44705079999999
194,Portsmouth VA,36.835425799999996,-76.29827420000001
195,Smyrna GA,33.883992600000006,-84.51437609999998
196,Johnsonville SC,33.8179432,-79.4492228
197,South Los Angeles CA,33.9891116,-118.29148719999999
198,Gardner KS,38.8108408,-94.9271868
199,Wilmington CA,33.7857948,-118.26435670000001
200,Encinitas CA,33.0369867,-117.2919818
201,Fort Pierce FL,27.446705600000005,-80.3256056
202,Webster MA,42.05009099999999,-71.88006279999998
203,Oxnard CA,34.1975048,-119.17705159999998
204,Fort Ashby WV,39.5031465,-78.76862969999998
205,Boston MA,42.360082500000004,-71.0588801
206,Jasper OH,39.05007,-83.05656789999998
207,Elizabethtown KY,37.7030646,-85.8649408
208,Eugene OR,44.0520691,-123.08675359999998
209,Boulder City NV,35.978221600000005,-114.83451170000001
210,Carollwood FL,28.0507738,-82.4996398
211,Baytown TX,29.735504700000003,-94.9774274
212,Fort Meade MD,39.1137602,-76.7267773
213,Hawthorne CA,33.9164032,-118.35257479999999
214,Hamilton NJ,40.2115109,-74.6796651
215,Rock Island IL,41.5094771,-90.57874759999999
216,Metropolis IL,37.151165500000005,-88.73199790000002
217,Tulsa OK,36.1539816,-95.992775
218,Pineville LA,31.3224044,-92.4343035
219,Winchester VA,39.1856597,-78.16333409999999
220,Zion IL,42.4461322,-87.83285049999998
221,North Charleston SC,32.8546197,-79.9748103
222,Orange CA,33.7879139,-117.8531007
223,Edgewood NM,35.0614358,-106.19141409999999
224,Tehachapi CA,35.1321877,-118.44897390000001
225,Harvey LA,29.9035387,-90.0772944
226,Jefferson County ID,43.7640903,-112.24936709999999
227,Pottawatomie County OK,35.275439,-97.0068393
228,Valdosta GA,30.8327022,-83.2784851
229,Sunnyvale CA,37.368829999999996,-122.03634960000001
230,Kellyville OK,35.9436968,-96.21361359999999
231,Navarre FL,30.4109342,-86.91232169999998
232,Monon IN,40.8678171,-86.87890440000001
233,Straban Township PA,39.8716058,-77.1735312
234,Boiling Springs SC,35.046508,-81.98177259999999
235,Corning CA,39.927657200000006,-122.17915559999999
236,Topeka KS,39.0473451,-95.6751576
237,Sand Springs OK,36.1398102,-96.108891
238,Salemburg NC,35.0154469,-78.5030622
239,Alton IL,38.890603799999994,-90.1842764
240,DeSoto TX,32.589699800000005,-96.8570738
241,Jonesboro AR,35.84229670000001,-90.704279
242,Miami FL,25.7616798,-80.1917902
243,Spartanburg SC,34.949567200000004,-81.93204820000001
244,Cañon City CO,38.4494063,-105.22533159999999
245,Montclair CA,34.0775104,-117.68977759999999
246,Shafter CA,35.500513899999994,-119.2717761
247,Chicago IL,41.8781136,-87.62979820000001
248,Jennings MO,38.7192175,-90.2603903
249,Panama City FL,30.158812899999997,-85.6602058
250,Wilmore KY,37.8620226,-84.6616105
251,Sidney NE,41.1448219,-102.9774497
252,Mission TX,26.2159066,-98.3252932
253,Trenton NJ,40.2205824,-74.75971700000001
254,Lakewood WA,47.1717649,-122.51845800000001
255,Irmo SC,34.0859829,-81.18315129999999
256,Bisbee AZ,31.448154700000003,-109.92840840000001
257,Queens NY,40.7282239,-73.7948516
258,Eldorado Springs CO,39.9324862,-105.2769348
259,Sylmar CA,34.3058279,-118.45719740000001
260,Rufe OK,35.007751899999995,-97.092877
261,Long Beach CA,33.770050399999995,-118.1937395
262,Windsor CA,38.547132700000006,-122.81638020000001
263,Miami OK,36.8745146,-94.8774554
264,Trinidad CO,37.1694632,-104.5005407
265,Victoria TX,28.805267399999998,-97.00359820000001
266,New York NY,40.7127753,-74.0059728
267,Clermont FL,28.5494447,-81.77285429999998
268,Bunch OK,35.6826766,-94.7608801
269,Kings County CA,36.0988489,-119.88152029999999
270,Fountain Valley CA,33.7090212,-117.95440690000001
271,Detroit MI,42.331427000000005,-83.0457538
272,Mansfield OH,40.758390000000006,-82.51544709999999
273,Marion IL,37.7306054,-88.9331256
274,Chickasha OK,35.052565,-97.9364326
275,Mesa AZ,33.4151843,-111.83147240000001
276,Elk Grove CA,38.4087993,-121.37161780000001
277,Emporia VA,36.6859829,-77.5424809
278,Nashville TN,36.1626638,-86.78160159999999
279,San Diego CA,32.715738,-117.1610838
280,Smyrna DE,39.299833899999996,-75.6046494
281,Roosevelt UT,40.299403000000005,-109.9887605
282,Garland TX,32.912624,-96.6388833
283,Chavies KY,37.3478702,-83.3562912
284,Kennewick WA,46.2086683,-119.119948
285,Venice CA,33.9850469,-118.4694832
286,South El Monte CA,34.0519548,-118.04673390000002
287,Pulaski VA,37.0478982,-80.77979350000001
288,Wake Forest NC,35.9798734,-78.50972279999998
289,Lawrenceville GA,33.9562149,-83.9879625
290,Beacon NY,41.5048158,-73.9695832
291,Cerritos CA,33.858348299999996,-118.0647871
292,Kearny AZ,33.0570085,-110.9106656
293,Constantia NY,43.2644105,-75.94632399999998
294,Fridley MN,45.086076500000004,-93.2632821
295,Tacoma WA,47.252876799999996,-122.4442906
296,Landover MD,38.93400020000001,-76.8966397
297,St. Augustine FL,29.9012437,-81.31243409999998
298,Honolulu HI,21.3069444,-157.8583333
299,Rancho Santa Margarita CA,33.640171,-117.602832
300,Portage MI,42.20115379999999,-85.5800022
301,Rockford IL,42.2711311,-89.09399520000001
302,Harvey IL,41.610034399999996,-87.6467131
303,St. Petersburg FL,27.767600800000004,-82.64029149999998
304,Arlington VA,38.8816208,-77.09098089999998
305,Cabot AR,34.974532,-92.01653359999999
306,Grand Junction CO,39.0638705,-108.5506486
307,Lancaster PA,40.0378755,-76.3055144
308,Green OH,40.945889799999996,-81.4831714
309,Owensboro KY,37.771907399999996,-87.1111676
310,Gillette WY,44.2910915,-105.5022205
311,Ft. Lauderdale FL,26.122438600000002,-80.13731740000001
312,Hackensack NJ,40.8859325,-74.0434736
313,Charleston SC,32.776474900000004,-79.93105120000001
314,Somerset PA,40.008410999999995,-79.07808309999999
315,Sedalia MO,38.7044609,-93.2282613
316,Eagar AZ,34.1111581,-109.291475
317,Huntsville AL,34.730368799999994,-86.5861037
318,Snohomish WA,47.91287560000001,-122.0981847
319,Bossier City LA,32.5159852,-93.7321228
320,Ideal Beach NJ,40.44722720000001,-74.11980360000003
321,Edmond OK,35.6528323,-97.47809540000002
322,Rockville GA,33.32763619999999,-83.2187677
323,Alpine CA,32.8350521,-116.76641090000001
324,Lancaster SC,34.72042570000001,-80.77090140000001
325,Northglenn CO,39.8961821,-104.98114679999999
326,Carrollton GA,33.580110299999994,-85.0766113
327,Trenton MI,42.139485799999996,-83.1782587
328,Lyndhurst NJ,40.81201710000001,-74.1243063
329,Okmulgee County OK,35.679587299999994,-95.98325770000001
330,Wilderville OR,42.382338,-123.46700770000001
331,Palestine TX,31.762115299999998,-95.6307891
332,Greece NY,43.2097837,-77.6930602
333,Roslindale MA,42.2832142,-71.1270268
334,Azle TX,32.8951262,-97.5458565
335,Delano CA,35.7688425,-119.24705359999999
336,Los Lunas NM,34.806166,-106.73335990000001
337,Ellis County TX,32.2619765,-96.8350999
338,Fuqua TX,30.447151399999996,-94.7363152
339,Byram NJ,40.9601024,-74.7227291
340,Santa Maria CA,34.953033700000006,-120.43571909999999
341,Morgantown WV,39.629526,-79.95589679999998
342,Oakland CA,37.8043637,-122.27111370000002
343,North Port FL,27.044224,-82.23592540000001
344,Watsonsville CA,36.910231,-121.7568946
345,Midland TX,31.9973456,-102.0779146
346,Strasburg CO,39.738316299999994,-104.32329240000001
347,Melbourne FL,28.0836269,-80.60810889999998
348,Woodland WA,45.9045591,-122.7439912
349,Beech Grove IN,39.721988399999994,-86.0899847
350,Sun City AZ,33.5975393,-112.2718239
351,Findlay OH,41.04422,-83.6499321
352,Tomball TX,30.097162100000006,-95.61605490000001
353,Cincinnati OH,39.103118200000004,-84.5120196
354,Bronx NY,40.844781899999994,-73.86482679999999
355,Pompano Beach FL,26.2378597,-80.1247667
356,Columbia TN,35.6150716,-87.03528309999999
357,Bexar County TX,29.420076300000005,-98.5721016
358,Kokomo IN,40.486427,-86.13360329999998
359,Fort Wayne IN,41.079273,-85.13935129999999
360,Louisville KY,38.252664700000004,-85.7584557
361,Hutchins TX,32.6492999,-96.7130521
362,South Lake Tahoe CA,38.939926,-119.9771868
363,Visalia CA,36.330228399999996,-119.2920585
364,Wood Lake ND,47.8805328,-98.82088890000001
365,Clanton AL,32.8387371,-86.6294262
366,Hobbs NM,32.702611600000004,-103.13604029999999
367,Coney Island NY,40.5755438,-73.9707016
368,Greeley CO,40.42331420000001,-104.7091322
369,Azusa CA,34.1336186,-117.90756270000001
370,Ronda NC,36.2184669,-80.9411858
371,Citrus Heights CA,38.7071247,-121.2810611
372,Augusta GA,33.4734978,-82.0105148
373,Pittsburgh PA,40.44062479999999,-79.9958864
