Location ,Lat,Lon
Ragley LA,30.51269899999999,-93.2323813
Oklahoma City OK,35.4675602,-97.5164276
Olympia WA,47.0378741,-122.9006951
Johnson City TN,36.3134397,-82.3534727
Charlotte NC,35.2270869,-80.8431267
Redding CA,40.5865396,-122.3916754
Ceres CA,37.5949316,-120.9577098
Upper Darby PA,39.957902,-75.3076883
Zion IL,42.4461322,-87.83285049999999
Carrizozo NM,33.6417408,-105.877212
Daviess County KY,37.7307984,-87.10237459999999
Geneva WI,42.6386048,-88.4597673
Acworth GA,34.0659329,-84.6768796
Kelso WA,46.146779,-122.9084445
Rising Sun MD,39.6978871,-76.06272659999999
San Fernando CA,34.2819461,-118.4389719
Cincinnati OH,39.1031182,-84.5120196
Denver CO,39.7392358,-104.990251
Penn Township PA,39.8001757,-76.958545
Spenard AK,61.17672719999999,-149.9282138
Norfolk VA,36.8507689,-76.28587259999999
Sevierville TN,35.8681455,-83.56183500000002
Cle Elum WA,47.1953976,-120.9392489
Hurst IL,37.8331059,-89.1428573
Santa Clarita CA,34.3916641,-118.542586
Elkins WV,38.92593970000001,-79.8467349
Southfield MI,42.4733688,-83.2218731
Hollywood Hills CA,34.1176605,-118.3520389
San Antonio TX,29.4241219,-98.49362819999999
Beaverton OR,45.4887993,-122.8013332
El Cajon CA,32.7947731,-116.9625269
Petroleum WV,39.19091050000001,-81.26844849999999
Belle Glade FL,26.6845104,-80.6675577
St. Louis MO,38.6270025,-90.19940419999999
North Hills CA,34.235822,-118.4849365
Rainbow City AL,33.9548201,-86.04191689999999
Salt Lake City UT,40.7607793,-111.8910474
Mesa AZ,33.4151843,-111.8314724
Tucson AZ,32.2226066,-110.9747108
Orlando FL,28.5383355,-81.3792365
Medford OR,42.3265152,-122.8755949
Phoenix AZ,33.4483771,-112.0740373
Union City CA,37.5933918,-122.0438298
Dallas TX,32.7766642,-96.79698789999999
Statesville NC,35.7826363,-80.8872959
Valdosta GA,30.8327022,-83.2784851
Port Barre LA,30.5601953,-91.9540054
Meridianville AL,34.8514782,-86.57221539999999
Kerrville TX,30.0474332,-99.1403189
Eufaula OK,35.2873206,-95.58248460000002
Clanton AL,32.8387371,-86.6294262
Reno NV,39.5296329,-119.8138027
Burns OR,43.5862606,-119.0541032
Mountain Pine AR,34.5720347,-93.1732401
Memphis TN,35.1495343,-90.0489801
Santa Fe NM,35.6869752,-105.937799
Latta SC,34.3371047,-79.4311616
Lenoir City TN,35.7972998,-84.2560299
Dearborn MI,42.3222599,-83.17631449999999
Mansfield TX,32.5631924,-97.1416768
Cobb County GA,33.8999297,-84.56414699999999
Tacoma WA,47.2528768,-122.4442906
Omaha NE,41.2565369,-95.9345034
Clackamas County OR,45.2023855,-122.1188945
Lynn MA,42.46676300000001,-70.9494938
Irving TX,32.8140177,-96.9488945
Phenix City AL,32.4709761,-85.0007653
Chicago IL,41.8781136,-87.6297982
Fort Collins CO,40.5852602,-105.084423
Rossville GA,34.9831309,-85.2860676
Sugar Creek MO,39.1097268,-94.4446742
Bakersfield CA,35.3732921,-119.0187125
Wilkinsburg PA,40.4417355,-79.8819942
Immokalee FL,26.4185248,-81.4174057
Saginaw TX,32.8601275,-97.3639068
Newark CA,37.5296593,-122.0402399
Washington DC,38.9071923,-77.0368707
Albuquerque NM,35.0843859,-106.650422
Rancho Cordova CA,38.5890723,-121.302728
Schulter OK,35.5145495,-95.9566635
Ocala FL,29.1871986,-82.14009229999999
Rosebud SD,43.2327824,-100.8534779
Kansas City MO,39.0997265,-94.5785667
Perry Township OH,40.7736624,-81.46085599999999
El Paso TX,31.7618778,-106.4850217
Hilo HI,19.7241106,-155.0868193
Milton FL,30.6324149,-87.03968809999999
Union Grove NC,36.0204308,-80.8322428
Seaside OR,45.9931636,-123.9226385
Los Angeles CA,34.0522342,-118.2436849
Columbus OH,39.9611755,-82.99879419999999
Austin AR,34.9984206,-91.98375519999999
Manchester NJ,39.9711696,-74.33928209999999
Chester PA,39.849557,-75.3557457
Austin TX,30.267153,-97.7430608
New Orleans LA,29.95106579999999,-90.0715323
Anaheim CA,33.8365932,-117.9143012
Louisville KY,38.2526647,-85.7584557
Abingdon MD,39.4622357,-76.27722229999999
Barrow AK,71.29055559999999,-156.788611
Roseville MN,45.0060767,-93.15661070000002
Henderson County TX,32.1321367,-95.81428849999999
Maiden NC,35.5756889,-81.2117473
Lancaster CA,34.6867846,-118.1541632
Boston MA,42.3600825,-71.0588801
Fort Worth TX,32.7554883,-97.3307658
